z_m,vx_m_per_s
-0.500000,0.000000000
-0.490000,0.000010000
-0.470000,0.000030000
-0.450000,0.000050000
-0.430000,0.000070000
-0.410000,0.000090000
-0.390000,0.000110000
-0.370000,0.000130000
-0.350000,0.000150000
-0.330000,0.000170000
-0.310000,0.000190000
-0.290000,0.000210000
-0.270000,0.000230000
-0.250000,0.000250000
-0.230000,0.000270000
-0.210000,0.000290000
-0.190000,0.000310000
-0.170000,0.000330000
-0.150000,0.000350000
-0.130000,0.000370000
-0.110000,0.000390000
-0.090000,0.000410000
-0.070000,0.000430000
-0.050000,0.000450000
-0.030000,0.000470000
-0.010000,0.000490000
0.010000,0.000510000
0.030000,0.000530000
0.050000,0.000550000
0.070000,0.000570000
0.090000,0.000590000
0.110000,0.000610000
0.130000,0.000630000
0.150000,0.000650000
0.170000,0.000670000
0.190000,0.000690000
0.210000,0.000710000
0.230000,0.000730000
0.250000,0.000750000
0.270000,0.000770000
0.290000,0.000790000
0.310000,0.000810000
0.330000,0.000830000
0.350000,0.000850000
0.370000,0.000870000
0.390000,0.000890000
0.410000,0.000910000
0.430000,0.000930000
0.450000,0.000950000
0.470000,0.000970000
0.490000,0.000990000
0.500000,0.001000000
